Topic,Pages
Variables,2
Lists,3
Functions,3
While-loop,2
Methods,3
Match-case,2
For-loop,3
Type-conversion,2
List Indices,2
Tuples,2
Enumerate,2
F-Strings,2
"Write Text Files, Read Text Files",3
File Paths,2
List Comprehensions,2
Comments,2
With-Context Manager,2
"If, Elif, and Else Conditionals",3
Slicing,2
Dictionaries,3
Try-Except and Exceptions,2
Continue Statement,2
Custom Functions,4
Function Arguments,2
Multiple Arguments,2
Decoupling Output,2
Default Arguments,2
Doc Strings,2
Decoupling Functions,2
Local Modules and Import,2
Standard Modules,2
Git and Github,4
Third-Party Modules,2
GUI,2
Web Development with Streamlit,6
Heroku Deployment,2
PDF Generation with PdfKit,4
Data Handling with Pandas,6
Sending Emails,4